group,method,variant,n_rows,k,minuslogpost_map,minuslogprior_map,logprior_density_map,chi2_map,logpost_map,loglike_from_post_minus_prior,loglike_from_chi2,loglike_difference_postprior_minus_chi2,logdet,cov_term,jitter,cov_status,logZ_variant
deu_combined,full_covariance_laplace,standard_posterior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.30797547828882,-34.05929507312105,3.2270213945898295e-19,no_or_small_jitter,-606.898615073121
deu_combined,full_covariance_laplace,loglike_plus_prior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.30797547828882,-34.05929507312105,3.2270213945898295e-19,no_or_small_jitter,-606.898615073121
deu_combined,full_covariance_laplace,loglike_only_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.30797547828882,-34.05929507312105,3.2270213945898295e-19,no_or_small_jitter,-637.7485120731211
deu_combined,full_covariance_laplace,posterior_plus_prior_again_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.30797547828882,-34.05929507312105,3.2270213945898295e-19,no_or_small_jitter,-576.048718073121
deu_combined,full_covariance_laplace,chi2_loglike_plus_prior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.30797547828882,-34.05929507312105,3.2270213945898295e-19,no_or_small_jitter,-606.898598073121
deu_combined,diagonal_covariance_laplace,standard_posterior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.18649708452914,-33.998555876241205,0.0,diagonal,-606.8378758762412
deu_combined,diagonal_covariance_laplace,loglike_plus_prior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.18649708452914,-33.998555876241205,0.0,diagonal,-606.8378758762412
deu_combined,diagonal_covariance_laplace,loglike_only_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.18649708452914,-33.998555876241205,0.0,diagonal,-637.6877728762413
deu_combined,diagonal_covariance_laplace,posterior_plus_prior_again_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.18649708452914,-33.998555876241205,0.0,diagonal,-575.9879788762412
deu_combined,diagonal_covariance_laplace,chi2_loglike_plus_prior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-77.18649708452914,-33.998555876241205,0.0,diagonal,-606.8378588762412
deu_combined,iqr_diagonal_laplace,standard_posterior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-76.19306149645867,-33.50183808220597,0.0,iqr_diagonal,-606.341158082206
deu_combined,iqr_diagonal_laplace,loglike_plus_prior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-76.19306149645867,-33.50183808220597,0.0,iqr_diagonal,-606.341158082206
deu_combined,iqr_diagonal_laplace,loglike_only_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-76.19306149645867,-33.50183808220597,0.0,iqr_diagonal,-637.191055082206
deu_combined,iqr_diagonal_laplace,posterior_plus_prior_again_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-76.19306149645867,-33.50183808220597,0.0,iqr_diagonal,-575.4912610822059
deu_combined,iqr_diagonal_laplace,chi2_loglike_plus_prior_laplace,4000,5,572.83932,-30.849897,30.849897,1207.3784,-572.83932,-603.6892170000001,-603.6892,-1.7000000070765964e-05,-76.19306149645867,-33.50183808220597,0.0,iqr_diagonal,-606.3411410822059
native_combined,full_covariance_laplace,standard_posterior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.11460450182419,-24.300486651298076,1.446592055967335e-20,no_or_small_jitter,-754.1497366512981
native_combined,full_covariance_laplace,loglike_plus_prior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.11460450182419,-24.300486651298076,1.446592055967335e-20,no_or_small_jitter,-754.1497366512981
native_combined,full_covariance_laplace,loglike_only_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.11460450182419,-24.300486651298076,1.446592055967335e-20,no_or_small_jitter,-773.486707651298
native_combined,full_covariance_laplace,posterior_plus_prior_again_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.11460450182419,-24.300486651298076,1.446592055967335e-20,no_or_small_jitter,-734.8127656512982
native_combined,full_covariance_laplace,chi2_loglike_plus_prior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.11460450182419,-24.300486651298076,1.446592055967335e-20,no_or_small_jitter,-754.1497156512982
native_combined,diagonal_covariance_laplace,standard_posterior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.112652683206576,-24.29951074198927,0.0,diagonal,-754.1487607419892
native_combined,diagonal_covariance_laplace,loglike_plus_prior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.112652683206576,-24.29951074198927,0.0,diagonal,-754.1487607419892
native_combined,diagonal_covariance_laplace,loglike_only_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.112652683206576,-24.29951074198927,0.0,diagonal,-773.4857317419892
native_combined,diagonal_covariance_laplace,posterior_plus_prior_again_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.112652683206576,-24.29951074198927,0.0,diagonal,-734.8117897419893
native_combined,diagonal_covariance_laplace,chi2_loglike_plus_prior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-54.112652683206576,-24.29951074198927,0.0,diagonal,-754.1487397419893
native_combined,iqr_diagonal_laplace,standard_posterior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-56.55695389659829,-25.521661348685125,0.0,iqr_diagonal,-755.3709113486851
native_combined,iqr_diagonal_laplace,loglike_plus_prior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-56.55695389659829,-25.521661348685125,0.0,iqr_diagonal,-755.3709113486851
native_combined,iqr_diagonal_laplace,loglike_only_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-56.55695389659829,-25.521661348685125,0.0,iqr_diagonal,-774.7078823486851
native_combined,iqr_diagonal_laplace,posterior_plus_prior_again_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-56.55695389659829,-25.521661348685125,0.0,iqr_diagonal,-736.0339403486852
native_combined,iqr_diagonal_laplace,chi2_loglike_plus_prior_laplace,4000,3,729.84925,-19.336971,19.336971,1498.3724,-729.84925,-749.1862209999999,-749.1862,-2.0999999946980097e-05,-56.55695389659829,-25.521661348685125,0.0,iqr_diagonal,-755.3708903486852
