official_estimator_id,method,variant,official_deu_logZ,variant_deu_logZ,official_minus_variant_deu,official_native_logZ,variant_native_logZ,official_minus_variant_native,official_logBF,variant_logBF,official_minus_variant_logBF,abs_total_logZ_mismatch,abs_logBF_mismatch
formal_laplace_full_covariance_crosscheck,full_covariance_laplace,chi2_loglike_plus_prior_laplace,-576.0487181192134,-606.898598073121,30.84987995390759,-734.8127651694195,-754.1497156512982,19.336950481878603,158.76404705020616,147.25111757817717,11.512929472028986,50.18683043578619,11.512929472028986
formal_laplace_full_covariance_crosscheck,full_covariance_laplace,loglike_only_laplace,-576.0487181192134,-637.7485120731211,61.699793953907715,-734.8127651694195,-773.486707651298,38.6739424818785,158.76404705020616,135.73819557817694,23.025851472029217,100.37373643578621,23.025851472029217
formal_laplace_full_covariance_crosscheck,full_covariance_laplace,loglike_plus_prior_laplace,-576.0487181192134,-606.898615073121,30.84989695390766,-734.8127651694195,-754.1497366512981,19.33697148187855,158.76404705020616,147.25112157817705,11.51292547202911,50.18686843578621,11.51292547202911
formal_laplace_full_covariance_crosscheck,full_covariance_laplace,posterior_plus_prior_again_laplace,-576.0487181192134,-576.048718073121,-4.609239567798795e-08,-734.8127651694195,-734.8127656512982,4.818786010218901e-07,158.76404705020616,158.76404757817716,-5.27970996699878e-07,5.27970996699878e-07,5.27970996699878e-07
formal_laplace_full_covariance_crosscheck,full_covariance_laplace,standard_posterior_laplace,-576.0487181192134,-606.898615073121,30.84989695390766,-734.8127651694195,-754.1497366512981,19.33697148187855,158.76404705020616,147.25112157817705,11.51292547202911,50.18686843578621,11.51292547202911
formal_laplace_diagonal_covariance_crosscheck,diagonal_covariance_laplace,chi2_loglike_plus_prior_laplace,-575.9879789226188,-606.8378588762412,30.84987995362235,-734.8117892601123,-754.1487397419893,19.33695048187701,158.82381033749346,147.31088086574812,11.512929471745338,50.18683043549936,11.512929471745338
formal_laplace_diagonal_covariance_crosscheck,diagonal_covariance_laplace,loglike_only_laplace,-575.9879789226188,-637.6877728762413,61.699793953622475,-734.8117892601123,-773.4857317419892,38.67394248187691,158.82381033749346,135.7979588657479,23.02585147174557,100.37373643549938,23.02585147174557
formal_laplace_diagonal_covariance_crosscheck,diagonal_covariance_laplace,loglike_plus_prior_laplace,-575.9879789226188,-606.8378758762412,30.84989695362242,-734.8117892601123,-754.1487607419892,19.336971481876958,158.82381033749346,147.310884865748,11.512925471745461,50.18686843549938,11.512925471745461
formal_laplace_diagonal_covariance_crosscheck,diagonal_covariance_laplace,posterior_plus_prior_again_laplace,-575.9879789226188,-575.9879788762412,-4.6377635953831486e-08,-734.8117892601123,-734.8117897419893,4.81877009406162e-07,158.82381033749346,158.8238108657481,-5.282546453599934e-07,5.282546453599934e-07,5.282546453599934e-07
formal_laplace_diagonal_covariance_crosscheck,diagonal_covariance_laplace,standard_posterior_laplace,-575.9879789226188,-606.8378758762412,30.84989695362242,-734.8117892601123,-754.1487607419892,19.336971481876958,158.82381033749346,147.310884865748,11.512925471745461,50.18686843549938,11.512925471745461
formal_laplace_iqr_diagonal_crosscheck,iqr_diagonal_laplace,chi2_loglike_plus_prior_laplace,-575.4904873259516,-606.3411410822059,30.85065375625436,-736.0337111372927,-755.3708903486852,19.33717921139248,160.54322381134114,149.02974926647926,11.513474544861879,50.18783296764684,11.513474544861879
formal_laplace_iqr_diagonal_crosscheck,iqr_diagonal_laplace,loglike_only_laplace,-575.4904873259516,-637.191055082206,61.700567756254486,-736.0337111372927,-774.7078823486851,38.67417121139238,160.54322381134114,137.51682726647903,23.02639654486211,100.37473896764686,23.02639654486211
formal_laplace_iqr_diagonal_crosscheck,iqr_diagonal_laplace,loglike_plus_prior_laplace,-575.4904873259516,-606.341158082206,30.85067075625443,-736.0337111372927,-755.3709113486851,19.337200211392428,160.54322381134114,149.02975326647913,11.513470544862002,50.18787096764686,11.513470544862002
formal_laplace_iqr_diagonal_crosscheck,iqr_diagonal_laplace,posterior_plus_prior_again_laplace,-575.4904873259516,-575.4912610822059,0.0007737562543752574,-736.0337111372927,-736.0339403486852,0.0002292113924795558,160.54322381134114,160.54267926647924,0.0005445448618957016,0.0010029676468548132,0.0005445448618957016
formal_laplace_iqr_diagonal_crosscheck,iqr_diagonal_laplace,standard_posterior_laplace,-575.4904873259516,-606.341158082206,30.85067075625443,-736.0337111372927,-755.3709113486851,19.337200211392428,160.54322381134114,149.02975326647913,11.513470544862002,50.18787096764686,11.513470544862002
