id,status,claim,required_caveat,required_extension
allowed_01,allowed_with_caveats,Caveated internal posterior summary for the DEU full-objective production likelihood is allowed.,Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_02,allowed_with_caveats,Posterior parameter summaries from Stage 3B-10 may be quoted with the Stage 3B-10 caveats.,Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_03,allowed_with_caveats,Stage 3B-11 robustness checks may be cited as internal robustness support.,Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_04,allowed_with_caveats,Tri-anchor context must remain attached to posterior wording.,Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_05,allowed_with_caveats,"TT_lite may be described as diagnostic-only monitoring context, not part of the sampled production likelihood.",Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_06,allowed_with_caveats,A caveated posterior summary exists for the DEU full-objective working-lock production sampler.,Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_07,allowed_with_caveats,The production posterior used the full-objective likelihood set and the guarded working-lock configuration.,Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_08,allowed_with_caveats,The readiness and robustness gates passed on two production chain files and 4000 combined rows.,Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_09,allowed_with_caveats,The tri-anchor context is retained as a monitoring caveat around the full-objective posterior.,Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_10,allowed_with_caveats,"TT_lite may be described as diagnostic-only monitoring context, not part of the sampled posterior likelihood.",Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_11,allowed_with_caveats,"Posterior summary for beta: mean=0.02949121724807528, median=0.029503285, q16=0.028849905, q84=0.030128599.",Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_12,allowed_with_caveats,"Posterior summary for p_vis: mean=1.0474182267750214, median=1.0473475, q16=1.0459375, q84=1.048932.",Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_13,allowed_with_caveats,"Posterior summary for omega_b: mean=0.021980020954662106, median=0.021972856, q16=0.021927323, q84=0.0220347.",Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_14,allowed_with_caveats,"Posterior summary for n_s: mean=0.9815232201591104, median=0.9815207, q16=0.98086835, q84=0.98217567.",Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
allowed_15,allowed_with_caveats,"Posterior summary for A_planck: mean=1.0250557243798117, median=1.0250715, q16=1.0242044, q84=1.0259026.",Use scoped/internal posterior language; retain tri-anchor and TT_lite diagnostic caveats.,
blocked_01,blocked,Do not claim DEU is superior to native LCDM or any baseline model from these artifacts alone.,,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
blocked_02,blocked,"Do not claim a Bayes factor, evidence ratio, or posterior model probability has been computed.",,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
blocked_03,blocked,Do not claim TT_lite is included in the production posterior.,,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
blocked_04,blocked,Do not make final publication-style cosmological claims before explicit comparison/claim-lock stages.,,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
blocked_05,blocked,DEU is superior to ΛCDM or the native baseline.,,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
blocked_06,blocked,The production posterior includes TT_lite.,,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
blocked_07,blocked,Final publication-style claim or external robustness claim.,,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
blocked_08,blocked,All Planck likelihood components prefer the same DEU anchor.,,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
blocked_09,blocked,The MAP-like chain row is an optimizer result or independent best fit.,,"Explicit native/baseline model comparison, matched likelihood posterior, or evidence calculation must be booked first."
