parameter,segment,n,mean,variance,min,max,segment_mean_range,pooled_std,normalized_segment_range,max_allowed_normalized_segment_range,gate_pass
omega_b,1,1000,0.021936335289,9.504663689184008e-10,0.021900159,0.022055275,,,,,
omega_b,2,1000,0.021933515203,7.630342929367242e-10,0.021900645,0.022048569,,,,,
omega_b,3,1000,0.021939668974,9.301692517010224e-10,0.021900219,0.022056177,,,,,
omega_b,4,1000,0.021931605437,6.76855367179215e-10,0.021900709,0.022023398,,,,,
omega_b,__SEGMENT_SUMMARY__,4000,0.02193528122575,,0.021931605437,0.021939668974,8.063537000002619e-06,2.8811999586697217e-05,0.27986731624575034,8.0,True
n_s,1,1000,0.9816744412,2.439508400592213e-07,0.98055768,0.98247155,,,,,
n_s,2,1000,0.98186439317,2.2935356731656816e-07,0.98050073,0.98249963,,,,,
n_s,3,1000,0.98177385308,2.5401196861012315e-07,0.98053566,0.98249804,,,,,
n_s,4,1000,0.98173731287,3.0980963715962204e-07,0.98051853,0.98248744,,,,,
n_s,__SEGMENT_SUMMARY__,4000,0.98176250008,,0.9816744412,0.98186439317,0.00018995196999993524,0.0005091969199498203,0.37304226038652083,8.0,True
A_planck,1,1000,1.0200513221,3.440502768927993e-08,1.0200001,1.0245428,,,,,
A_planck,2,1000,1.0200462246,2.0268197145544614e-09,1.02,1.0202861,,,,,
A_planck,3,1000,1.0200662382,5.0246168989749766e-08,1.02,1.0250552,,,,,
A_planck,4,1000,1.020048165,1.7881675625625089e-09,1.0200001,1.0203074,,,,,
A_planck,__SEGMENT_SUMMARY__,4000,1.020052987475,,1.0200462246,1.0200662382,2.001360000014607e-05,0.00014871632724430987,0.1345756741777781,8.0,True
minuslogpost,1,1000,732.52019634,30.04419511324786,729.9945,865.55804,,,,,
minuslogpost,2,1000,732.14722626,2.086656795992205,729.97341,740.22007,,,,,
minuslogpost,3,1000,732.93722976,42.8168209388662,729.84925,883.08484,,,,,
minuslogpost,4,1000,732.2364830399999,1.7650636584347903,729.91096,739.64343,,,,,
minuslogpost,__SEGMENT_SUMMARY__,4000,732.46028385,,732.14722626,732.93722976,0.7900035000000116,4.379290367928949,0.18039532290105248,8.0,True
