family,estimator_id,estimator_kind,status,covariance_mode,n_rows,n_parameters,parameters,minuslogpost_min,max_logposterior,log_prior_volume,cov_logdet,cov_jitter_added,log_evidence_crosscheck,best_row_index_zero_based,best_row_parameter_values,claim_status,chain_file,chain_index
deu,formal_laplace_full_covariance_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,full,2000,5,"[""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck""]",572.83932,-572.83932,-30.84989694079671,-77.40410180528251,6.056411313771223e-17,-576.0967812958213,1681,"{""A_planck"": 1.0250579, ""deu_damping_envelope_beta"": 0.029595717, ""deu_transfer_polamp_p_vis"": 1.0473467, ""n_s"": 0.98118992, ""omega_b"": 0.021959556}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,1
deu,formal_laplace_diagonal_covariance_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,diagonal,2000,5,"[""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck""]",572.83932,-572.83932,-30.84989694079671,-77.27626859046273,6.056411313771223e-17,-576.0328646884113,1681,"{""A_planck"": 1.0250579, ""deu_damping_envelope_beta"": 0.029595717, ""deu_transfer_polamp_p_vis"": 1.0473467, ""n_s"": 0.98118992, ""omega_b"": 0.021959556}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,1
deu,formal_laplace_iqr_diagonal_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,iqr_diagonal,2000,5,"[""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck""]",572.83932,-572.83932,-30.84989694079671,-76.44018000925419,7.326674610112521e-17,-575.6148203978071,1681,"{""A_planck"": 1.0250579, ""deu_damping_envelope_beta"": 0.029595717, ""deu_transfer_polamp_p_vis"": 1.0473467, ""n_s"": 0.98118992, ""omega_b"": 0.021959556}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,1
deu,formal_laplace_full_covariance_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,full,2000,5,"[""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck""]",572.86331,-572.86331,-30.84989694079671,-77.3093429105619,6.190371381448779e-17,-576.0733918484609,1665,"{""A_planck"": 1.0250023, ""deu_damping_envelope_beta"": 0.0296942, ""deu_transfer_polamp_p_vis"": 1.0473113, ""n_s"": 0.98088114, ""omega_b"": 0.021962874}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,2
deu,formal_laplace_diagonal_covariance_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,diagonal,2000,5,"[""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck""]",572.86331,-572.86331,-30.84989694079671,-77.1807768139502,6.190371381448779e-17,-576.009108800155,1665,"{""A_planck"": 1.0250023, ""deu_damping_envelope_beta"": 0.0296942, ""deu_transfer_polamp_p_vis"": 1.0473113, ""n_s"": 0.98088114, ""omega_b"": 0.021962874}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,2
deu,formal_laplace_iqr_diagonal_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,iqr_diagonal,2000,5,"[""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck""]",572.86331,-572.86331,-30.84989694079671,-76.13555728069669,7.624327870250018e-17,-575.4864990335283,1665,"{""A_planck"": 1.0250023, ""deu_damping_envelope_beta"": 0.0296942, ""deu_transfer_polamp_p_vis"": 1.0473113, ""n_s"": 0.98088114, ""omega_b"": 0.021962874}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,2
native,formal_laplace_full_covariance_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,full,2000,3,"[""omega_b"", ""n_s"", ""A_planck""]",729.97341,-729.97341,-19.336971475826505,-54.44080834045858,8.578299838960411e-18,-735.1000270947886,1515,"{""A_planck"": 1.0200043, ""n_s"": 0.98239807, ""omega_b"": 0.021904256}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,1
native,formal_laplace_diagonal_covariance_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,diagonal,2000,3,"[""omega_b"", ""n_s"", ""A_planck""]",729.97341,-729.97341,-19.336971475826505,-54.43898848469482,8.578299838960411e-18,-735.0991171669068,1515,"{""A_planck"": 1.0200043, ""n_s"": 0.98239807, ""omega_b"": 0.021904256}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,1
native,formal_laplace_iqr_diagonal_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,iqr_diagonal,2000,3,"[""omega_b"", ""n_s"", ""A_planck""]",729.97341,-729.97341,-19.336971475826505,-56.70537257637143,9.310501959742885e-18,-736.2323092127451,1515,"{""A_planck"": 1.0200043, ""n_s"": 0.98239807, ""omega_b"": 0.021904256}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,1
native,formal_laplace_full_covariance_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,full,2000,3,"[""omega_b"", ""n_s"", ""A_planck""]",729.84925,-729.84925,-19.336971475826505,-53.856711398125114,1.0128909040098435e-17,-734.683818623622,355,"{""A_planck"": 1.0200026, ""n_s"": 0.98249758, ""omega_b"": 0.021903315}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,2
native,formal_laplace_diagonal_covariance_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,diagonal,2000,3,"[""omega_b"", ""n_s"", ""A_planck""]",729.84925,-729.84925,-19.336971475826505,-53.851118003840156,1.0128909040098435e-17,-734.6810219264795,355,"{""A_planck"": 1.0200026, ""n_s"": 0.98249758, ""omega_b"": 0.021903315}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,2
native,formal_laplace_iqr_diagonal_crosscheck,formal_chain_laplace_crosscheck_not_final_evidence,success,iqr_diagonal,2000,3,"[""omega_b"", ""n_s"", ""A_planck""]",729.84925,-729.84925,-19.336971475826505,-56.44622211011068,1.1772079839008363e-17,-735.9785739796148,355,"{""A_planck"": 1.0200026, ""n_s"": 0.98249758, ""omega_b"": 0.021903315}",crosscheck_result_only_formal_claims_blocked,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,2
