claim_or_statement_id,status,scope,text,required_caveat_or_reason,next_action
allowed_001,allowed_with_caveats,internal_project_record,The Stage 3B formal cross-check estimator recorded matched DEU and native log-evidence-style values under the scoped full-objective likelihood configuration.,"Use as an internal formal cross-check estimator result, not as a final publication-grade evidence claim.",May be used only in the stated scope.
allowed_002,allowed_with_caveats,internal_project_record,The formal cross-check log-BF-style value is positive for DEU relative to native under the matched scoped estimator lineage.,Do not phrase this as model superiority or decisive external evidence.,May be used only in the stated scope.
allowed_003,allowed_with_caveats,internal_project_record,The DEU formal cross-check log-evidence-style value was recorded.,The estimator lineage and prior-volume assumptions must accompany the value.,May be used only in the stated scope.
allowed_004,allowed_with_caveats,internal_project_record,The native formal cross-check log-evidence-style value was recorded.,The native baseline must be described as matched to the scoped full-objective likelihood and excluded TT_lite.,May be used only in the stated scope.
allowed_005,allowed_with_caveats,external_preprint_draft_only_if_caveated,A formal cross-check evidence estimator has been run as part of an internal validation workflow.,External/publication-grade claims require independent validation before model-superiority language.,May be used only in the stated scope.
blocked_001,blocked,external_or_publication_claim,DEU is proven superior to the native/baseline model.,Model-superiority claims remain gated until independent evidence validation and final claim lock.,"Independent evidence estimator validation, prior-volume sensitivity, and explicit publication claim lock."
blocked_002,blocked,external_or_publication_claim,The formal cross-check log-BF value is a final publication-grade Bayes factor.,Stage 3B-28 scoped the evidence language as internal formal cross-check only.,Stage 3B-30+ independent validation using a distinct estimator family or matched external evidence protocol.
blocked_003,blocked,external_or_publication_claim,TT_lite was included in the production posterior or formal evidence comparison.,TT_lite remained diagnostic-only and excluded from production/native sampled likelihoods.,A separately booked TT_lite-included sampler/evidence branch.
blocked_004,blocked,external_or_publication_claim,The DEU posterior/evidence results are final cosmological publication results.,The current record is a staged internal validation and scoped report lineage.,"External robustness, independent reruns, final claim review, and publication-specific validation."
blocked_005,blocked,external_or_publication_claim,The evidence result is insensitive to prior-volume choices in a publication-grade sense.,Prior-volume sensitivity has been recorded in the internal lineage but not independently validated.,Formal prior-volume sensitivity campaign with pre-registered comparison rules.
