comparison,key,observed,expected,difference,abs_difference,tolerance,pass
production_ref_bundle_vs_stage3b0_working_lock,plik_TTTEEE_lite,-382.30201119323436,-382.30201119323436,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b0_working_lock,lowl_available,-212.1379932252806,-212.1379932252806,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b0_working_lock,lensing_native,-9.388064537163515,-9.388064537163515,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b0_working_lock,lowl_plus_plik_TTTEEE_lite,-594.440004418515,-594.440004418515,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b0_working_lock,lowl_plik_TTTEEE_lite_lensing_native,-603.8280689556785,-603.8280689556785,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b1_sampler_ref,plik_TTTEEE_lite,-382.30201119323436,-382.30201119323436,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b1_sampler_ref,lowl_available,-212.1379932252806,-212.1379932252806,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b1_sampler_ref,lensing_native,-9.388064537163515,-9.388064537163515,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b1_sampler_ref,lowl_plus_plik_TTTEEE_lite,-594.440004418515,-594.440004418515,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b1_sampler_ref,lowl_plik_TTTEEE_lite_lensing_native,-603.8280689556785,-603.8280689556785,0.0,0.0,1e-05,True
production_ref_components_vs_stage3b1_sampler_ref,planck_2018_highl_plik.TTTEEE_lite,-382.30201119323436,-382.30201119323436,0.0,0.0,1e-05,True
production_ref_components_vs_stage3b1_sampler_ref,planck_2018_lowl.TT,-13.212563745598118,-13.212563745598118,0.0,0.0,1e-05,True
production_ref_components_vs_stage3b1_sampler_ref,planck_2018_lowl.EE,-198.9254294796825,-198.9254294796825,0.0,0.0,1e-05,True
production_ref_components_vs_stage3b1_sampler_ref,planck_2018_lensing.native,-9.388064537163515,-9.388064537163515,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b7_checkpoint,plik_TTTEEE_lite,-382.30201119323436,-382.30201119323436,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b7_checkpoint,lowl_available,-212.1379932252806,-212.1379932252806,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b7_checkpoint,lensing_native,-9.388064537163515,-9.388064537163515,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b7_checkpoint,lowl_plus_plik_TTTEEE_lite,-594.440004418515,-594.440004418515,0.0,0.0,1e-05,True
production_ref_bundle_vs_stage3b7_checkpoint,lowl_plik_TTTEEE_lite_lensing_native,-603.8280689556785,-603.8280689556785,0.0,0.0,1e-05,True
production_ref_components_vs_stage3b7_checkpoint,planck_2018_highl_plik.TTTEEE_lite,-382.30201119323436,-382.30201119323436,0.0,0.0,1e-05,True
production_ref_components_vs_stage3b7_checkpoint,planck_2018_lowl.TT,-13.212563745598118,-13.212563745598118,0.0,0.0,1e-05,True
production_ref_components_vs_stage3b7_checkpoint,planck_2018_lowl.EE,-198.9254294796825,-198.9254294796825,0.0,0.0,1e-05,True
production_ref_components_vs_stage3b7_checkpoint,planck_2018_lensing.native,-9.388064537163515,-9.388064537163515,0.0,0.0,1e-05,True
